Candidate,FolderName,Variant,SuccessRate,MeanDist_m,AvgTime_s,MaxPhysErr_m,AvgSteps
B,H8_K20_Meuler_T0.5_Dfm_visual_aligning.models.visual_gaussian_diffusion.VisualFlowMatching_VFalse_mpc4,post_processing,0.0,0.3045824468135834,0.17129142582416534,0.06117814779281616,400.0
C,(Crushed)H8_K1_Meuler_T0.5_Dfm_visual_aligning.models.visual_gaussian_diffusion.VisualFlowMatching_VFalse_mpc4,combined_5/diffuser,0.0,0.2803637981414795,0.011716965585947037,0.8467252850532532,300.0
D,H8_K1_Meuler_T0.5_Dfm_visual_aligning.models.visual_gaussian_diffusion.VisualFlowMatching_VFalse_mpc4,combined_5-tightened/diffuser,0.0,0.2803637981414795,0.010904754512012005,0.8467252850532532,300.0
D,H8_K1_Meuler_T0.5_Dfm_visual_aligning.models.visual_gaussian_diffusion.VisualFlowMatching_VFalse_mpc4,combined_5-tightened/dpcc-c,0.0,0.29548436403274536,0.06593836843967438,0.5503425598144531,300.0
D,H8_K1_Meuler_T0.5_Dfm_visual_aligning.models.visual_gaussian_diffusion.VisualFlowMatching_VFalse_mpc4,combined_5-tightened/dpcc-c-dt0p25,0.0,0.7463270425796509,0.17071282863616943,1.1864315271377563,300.0
D,H8_K1_Meuler_T0.5_Dfm_visual_aligning.models.visual_gaussian_diffusion.VisualFlowMatching_VFalse_mpc4,combined_5-tightened/dpcc-c-dt0p5,0.0,0.6794826984405518,0.6476865410804749,1.1421231031417847,300.0
D,H8_K1_Meuler_T0.5_Dfm_visual_aligning.models.visual_gaussian_diffusion.VisualFlowMatching_VFalse_mpc4,combined_5-tightened/dpcc-c-dt2p0,0.0,0.9138641357421875,0.5369137525558472,1.17196786403656,300.0
D,H8_K1_Meuler_T0.5_Dfm_visual_aligning.models.visual_gaussian_diffusion.VisualFlowMatching_VFalse_mpc4,combined_5-tightened/dpcc-c-dt4p0,0.0,0.5632695555686951,0.05888872593641281,0.8418420553207397,300.0
D,H8_K1_Meuler_T0.5_Dfm_visual_aligning.models.visual_gaussian_diffusion.VisualFlowMatching_VFalse_mpc4,combined_5-tightened/dpcc-r,0.0,0.2665348947048187,0.011141486465930939,0.8673744201660156,300.0
D,H8_K1_Meuler_T0.5_Dfm_visual_aligning.models.visual_gaussian_diffusion.VisualFlowMatching_VFalse_mpc4,combined_5-tightened/dpcc-t,0.0,0.9381062388420105,0.011145041324198246,0.8126426935195923,300.0
D,H8_K1_Meuler_T0.5_Dfm_visual_aligning.models.visual_gaussian_diffusion.VisualFlowMatching_VFalse_mpc4,combined_5-tightened/gradient,0.0,0.2665348947048187,0.010962890461087227,0.8673744201660156,300.0
D,H8_K1_Meuler_T0.5_Dfm_visual_aligning.models.visual_gaussian_diffusion.VisualFlowMatching_VFalse_mpc4,combined_5-tightened/model_free,0.0,0.2665348947048187,0.01097830943763256,0.8673744201660156,300.0
D,H8_K1_Meuler_T0.5_Dfm_visual_aligning.models.visual_gaussian_diffusion.VisualFlowMatching_VFalse_mpc4,combined_5-tightened/post_processing,0.0,0.2665348947048187,0.011064384132623672,0.8673744201660156,300.0
D,H8_K1_Meuler_T0.5_Dfm_visual_aligning.models.visual_gaussian_diffusion.VisualFlowMatching_VFalse_mpc4,combined_5/diffuser,0.0,0.2803637981414795,0.013909501023590565,0.8467252850532532,300.0
