Candidate,FolderName,scene,engine,K,seed,split,geo,variant,variant_base,tightened,variant_raw,rollout_idx,projection_cb_tripped,homotopy,homotopy_flown,n_success,success_relaxed,n_success_and_constraints,n_success_relaxed_and_constraints,collision_free_completed,phys_safe,goal_reached,goal_dist,n_violations,total_violations,n_steps,steps_to_goal,avg_time,avg_time_ms,fm_ms,proj_ms,total_ms_p95,over_budget_frac,track_err_mean,phys_contact_frac,phys_min_z,FullPath,backbone,budget_ms,constraint_collision_free,constraint_n_violations,constraint_total_violations,controller,diagnostics_found,fm_ms_p95,generation,geo_scene,goal_crossed_line,max_episode_length,mpc_batch,n_fm_steps,n_proj_steps,n_success_relaxed,over_budget_steps,phys_final_z,projection_backstop_hits,projection_cb_skipped_steps,projection_cb_trips,scene_json,success_relaxed_and_constraints,success_strict,success_strict_and_constraints,threshold
1,corridor|Gen11,corridor,,,6,test,dpcc-c_anchorP,dpcc-c,dpcc-c,False,dpcc-c,0,0.0,L,,0.0,,0.0,,,,,,0.0,0.0,254.0,,0.14596091119176524,145.96091119176523,86.03310156760253,59.92780962416271,147.65817699953914,1.0,0.2735706009852187,,,/data/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_condp_des,,30.3,,,,,1.0,86.33427498862147,Gen11,dpcc-c,,,,254.0,,,254.0,,,,,corridor,,,,
1,corridor|Gen11,corridor,,,6,test,dpcc-c_anchorP,dpcc-c,dpcc-c,False,dpcc-c,1,0.0,C,,0.0,,0.0,,,,,,0.0,0.0,243.0,,0.5085788983928323,508.57889839283234,85.69545350171656,422.88344489111574,893.0075943469993,1.0,0.7896882461808904,,,/data/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_condp_des,,30.3,,,,,1.0,86.05159129947424,Gen11,dpcc-c,,,,243.0,,,243.0,,,,,corridor,,,,
1,corridor|Gen11,corridor,,,6,test,dpcc-c_anchorP,dpcc-c,dpcc-c,False,dpcc-c,2,0.0,R,,0.0,,0.0,,,,,,0.0,0.0,231.0,,0.5168733078889646,516.8733078889645,85.68823189188392,431.1850759970806,687.89835087955,1.0,0.4787368518555664,,,/data/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_condp_des,,30.3,,,,,1.0,86.0326960682869,Gen11,dpcc-c,,,,231.0,,,231.0,,,,,corridor,,,,
1,corridor|Gen11,corridor,,,6,test,dpcc-c_anchorP,dpcc-c,dpcc-c,False,dpcc-c,3,0.0,L,,0.0,,0.0,,,,,,0.0,0.0,295.0,,0.5301317004265927,530.1317004265927,85.70339684137853,444.4283035852141,712.7307975664736,1.0,0.4916535172967113,,,/data/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_condp_des,,30.3,,,,,1.0,86.11796144396067,Gen11,dpcc-c,,,,295.0,,,295.0,,,,,corridor,,,,
1,corridor|Gen11,corridor,,,6,test,dpcc-c_anchorP,dpcc-c,dpcc-c,False,dpcc-c,4,0.0,C,,0.0,,0.0,,,,,,0.0,0.0,259.0,,0.9705615682117497,970.5615682117497,85.5584546031869,885.0031136085628,1689.9331821128724,1.0,1.0345601837963216,,,/data/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_condp_des,,30.3,,,,,1.0,86.04454081505537,Gen11,dpcc-c,,,,259.0,,,259.0,,,,,corridor,,,,
1,corridor|Gen11,corridor,,,6,test,dpcc-c_anchorP,dpcc-c,dpcc-c,False,dpcc-c,5,0.0,R,,0.0,,0.0,,,,,,0.0,0.0,241.0,,0.17202985023932835,172.02985023932834,85.70155146612913,86.3282987731992,520.6590499728918,1.0,0.2905069292494436,,,/data/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_condp_des,,30.3,,,,,1.0,85.96689626574516,Gen11,dpcc-c,,,,241.0,,,241.0,,,,,corridor,,,,
1,corridor|Gen11,corridor,,,6,test,dpcc-c_anchorP,dpcc-c,dpcc-c,False,dpcc-c,6,0.0,L,,0.0,,0.0,,,,,,0.0,0.0,293.0,,0.15258316112103723,152.58316112103722,85.7753292768685,66.80783184416872,147.0066912472248,1.0,0.21740370738082082,,,/data/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_condp_des,,30.3,,,,,1.0,86.01069748401642,Gen11,dpcc-c,,,,293.0,,,293.0,,,,,corridor,,,,
1,corridor|Gen11,corridor,,,6,test,dpcc-c_anchorP,dpcc-c,dpcc-c,False,dpcc-c,7,0.0,C,,0.0,,0.0,,,,,,0.0,0.0,249.0,,0.5203192165069073,520.3192165069073,85.59245952820203,434.7267569787052,929.63025867939,1.0,0.24317211304894365,,,/data/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_condp_des,,30.3,,,,,1.0,85.93272417783737,Gen11,dpcc-c,,,,249.0,,,249.0,,,,,corridor,,,,
1,corridor|Gen11,corridor,,,6,test,dpcc-c_anchorP,dpcc-c,dpcc-c,False,dpcc-c,8,0.0,R,,0.0,,0.0,,,,,,0.0,0.0,258.0,,0.4491228380334354,449.1228380334354,86.07287231341813,363.04996572001727,741.962931025773,1.0,0.44367621313924477,,,/data/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_condp_des,,30.3,,,,,1.0,86.40534430742264,Gen11,dpcc-c,,,,258.0,,,258.0,,,,,corridor,,,,
1,corridor|Gen11,corridor,,,6,test,dpcc-c_anchorP,dpcc-c,dpcc-c,False,dpcc-c,9,0.0,L,,0.0,,0.0,,,,,,0.0,0.0,272.0,,0.4347902478869347,434.7902478869347,85.77193815589828,349.0183097310364,680.5356632918118,1.0,0.4193633247002061,,,/data/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_condp_des,,30.3,,,,,1.0,86.15997629240155,Gen11,dpcc-c,,,,272.0,,,272.0,,,,,corridor,,,,
1,corridor|Gen11,corridor,,,6,test,dpcc-r_anchorP,dpcc-r,dpcc-r,False,dpcc-r,0,0.0,L,,0.0,,0.0,,,,,,0.0,0.0,254.0,,0.37756699971913354,377.56699971913355,86.0200280572955,291.54697166183803,737.831156142056,1.0,0.8801358361996562,,,/data/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_condp_des,,30.3,,,,,1.0,86.39425449073315,Gen11,dpcc-r,,,,254.0,,,254.0,,,,,corridor,,,,
