Candidate,FolderName,FullPath,seed,split,geo,geo_base,tightened,variant,metric,mean,std,min,max,n,mask,LatestSnapshot
1,d3il_baseline_ddpm_encdec_vision,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,42,test,none,none,False,d3il_baseline,diagnostics_found,1.0,0.0,1.0,1.0,1080,all,20260701_013505
1,d3il_baseline_ddpm_encdec_vision,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,42,test,none,none,False,d3il_baseline,frozen,0.0,0.0,0.0,0.0,1080,all,20260701_013505
1,d3il_baseline_ddpm_encdec_vision,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,42,test,none,none,False,d3il_baseline,frozen_worst_overlap_m,,,,,0,all,20260701_013505
1,d3il_baseline_ddpm_encdec_vision,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,42,test,none,none,False,d3il_baseline,mode_encoding,0.8953703703703704,0.30621739576302387,0.0,1.0,1080,all,20260701_013505
1,d3il_baseline_ddpm_encdec_vision,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,42,test,none,none,False,d3il_baseline,success_strict,0.0,0.0,0.0,0.0,1080,all,20260701_013505
1,d3il_baseline_ddpm_encdec_vision,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,42,test,none,none,False,d3il_baseline,total_violations,,,,,0,all,20260701_013505
1,d3il_baseline_ddpm_encdec_vision,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,42,test,none,none,False,d3il_baseline,n_success,0.0,0.0,0.0,0.0,1080,unfrozen,20260701_013505
1,d3il_baseline_ddpm_encdec_vision,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,42,test,none,none,False,d3il_baseline,n_success_and_constraints,,,,,0,unfrozen,20260701_013505
1,d3il_baseline_ddpm_encdec_vision,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,42,test,none,none,False,d3il_baseline,mean_dist_per_rollout,0.40088680340144456,0.12836184156651745,0.1436148065392836,0.7099894398716304,1080,unfrozen,20260701_013505
1,d3il_baseline_ddpm_encdec_vision,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,42,test,none,none,False,d3il_baseline,n_steps,400.0,0.0,400.0,400.0,1080,unfrozen,20260701_013505
