Rank,Candidate,Folder,Accuracy (%),Accuracy Std (%),Success (%),CollisionFree (%),Time (ms),MeanDist_m,MaxPhysErr_m,Robustness,Seeds,Missing_Seeds,Latest_Snapshot
1,6,H8_K100_Meuler_T0.5_Dmix_visual_aligning.models.visual_af_diffusion.VisualAlphaFlow_VTrue_mpc4_filmv1_Eaf,4.545454545454546,4.545454545454546,6.212121212121212,23.636363636363637,8660.73402161331,0.3554292545096951,0.3651081650060274,0.045454545454545456,1,,20260802_205904
2,20,H8_K2_Meuler_T0.5_Dmix_visual_aligning.models.visual_mf_diffusion.VisualMeanFlow_VTrue_mpc4_filmv1_Emf,2.0175438596491224,2.2346910882205253,2.543859649122807,49.3859649122807,62.25000586188448,0.3425429548896278,0.24093869723248904,0.022346910882205254,1,,20260804_225021
3,18,H8_K10_Meuler_T0.4_Dmix_visual_aligning.models.visual_mf_diffusion.VisualMeanFlow_VTrue_mpc4_filmv1_Emf,1.5789473684210527,3.6464227527765845,1.842105263157895,40.0,272.67577832209076,0.322595097370798,0.2930033390434753,0.03646422752776585,1,,20260901_133614
4,21,H8_K2_Meuler_T0.5_Dmix_visual_aligning.models.visual_mf_diffusion.VisualMeanFlow_VTrue_mpc4_filmv2_Emf,1.1458333333333335,1.583196265996944,1.25,34.27083333333334,50.02052231550894,0.36610831603217375,0.4262890687503387,0.01583196265996944,1,,20260811_035053
5,16,H8_K100_Meuler_T0.1_Dmix_visual_aligning.models.visual_mf_diffusion.VisualMeanFlow_VTrue_mpc4_filmv1_Emf,0.5263157894736842,2.232968782694361,2.1052631578947367,19.736842105263154,1157.3812770659754,0.31055673070534745,0.30978574123602415,0.022329687826943608,1,,20260830_095703
6,7,H8_K2_Meuler_T0.5_Dmix_visual_aligning.models.visual_af_diffusion.VisualAlphaFlow_VTrue_mpc4_filmv1_Eaf,0.43859649122807026,1.1267747876022043,1.1403508771929824,44.82456140350877,62.77419995583985,0.36452937746935826,0.21966093944777781,0.011267747876022043,1,,20260805_001511
7,14,H8_K2_Meuler_T0.5_Dmix_visual_aligning.models.visual_mf_diffusion.VisualMeanFlow_VTrue_mpc4_Bdit_Emf,0.3125,0.9716019846967516,1.1458333333333335,35.729166666666664,48.34443201970513,0.3959127992487229,0.19611674493644388,0.009716019846967516,1,,20260823_004343
8,24,d3il_baseline_ddpm_encdec_vision__Bf_U3,0.28530670470756064,,0.28530670470756064,,,0.39175294010190875,,,6,,20260620_215600
9,1,H8_K20_Meuler_T0.5_Dfm_visual_aligning.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4_filmv2,0.0,0.0,0.0,0.0,629.6937705907557,0.5895195093798459,0.6788244614498989,0.0,1,,20260705_165238
10,2,H8_K20_Meuler_T0.5_Dfm_visual_aligning.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4_filmv2,0.0,0.0,0.0,50.0,5327.69178222451,0.764846573942751,0.5313127566520887,0.0,1,,20260701_124103
