Candidate,FolderName,scene,engine,K,seed,split,geo,variant,variant_base,tightened,variant_raw,rollout_idx,projection_cb_tripped,homotopy,homotopy_flown,n_success,success_relaxed,n_success_and_constraints,n_success_relaxed_and_constraints,collision_free_completed,phys_safe,goal_reached,goal_dist,n_violations,total_violations,n_steps,steps_to_goal,avg_time,avg_time_ms,fm_ms,proj_ms,total_ms_p95,over_budget_frac,track_err_mean,phys_contact_frac,phys_min_z,FullPath,backbone,budget_ms,constraint_collision_free,constraint_n_violations,constraint_total_violations,controller,diagnostics_found,divergence_aborted,divergence_step,fm_ms_p95,generation,geo_scene,goal_crossed_line,max_episode_length,mpc_batch,n_fm_steps,n_proj_steps,n_success_relaxed,over_budget_steps,phys_final_z,projection_backstop_hits,projection_cb_skipped_steps,projection_cb_trips,scene_json,success_relaxed_and_constraints,success_strict,success_strict_and_constraints,threshold
32,corridor|fm|K10,corridor,fm,10,6,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,bounds_free-tightened,bounds_free,True,bounds_free-tightened,8,0.0,R,C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.28445407930552924,0.0,0.0,281.0,281.0,0.22811212524559574,228.11212524559573,85.27528814759332,142.83683709800243,291.7699068784714,1.0,0.5186128231599251,0.0,1.0867937024758898,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K10_mpc4_pid_stopgo_T0.5,,30.3,1.0,0.0,0.0,pid_stopgo,1.0,,,85.80242283642292,Gen15,corridor,1.0,396.0,4,281.0,281.0,,281.0,1.1014923917614365,0.0,0.0,0.0,corridor,1.0,1.0,1.0,0.5
32,corridor|fm|K10,corridor,fm,10,6,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,bounds_free-tightened,bounds_free,True,bounds_free-tightened,9,0.0,L,C,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.29776219379360314,2.0,0.00984598815441129,248.0,248.0,0.21534640709268713,215.34640709268712,85.5214816382936,129.8249254543935,262.6030922867357,1.0,0.6053056527925792,0.005376344086021506,0.9724843894209235,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K10_mpc4_pid_stopgo_T0.5,,30.3,0.0,2.0,0.00984598815441129,pid_stopgo,1.0,,,86.11696977168322,Gen15,corridor,1.0,396.0,4,248.0,248.0,,248.0,1.013424857533981,0.0,0.0,0.0,corridor,0.0,1.0,0.0,0.5
32,corridor|fm|K10,corridor,fm,10,6,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,diffuser,False,diffuser,0,0.0,L,L,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6108129425884812,133.0,13.017314712405206,396.0,,0.08617054481962413,86.17054481962414,86.17054481962414,0.0,86.55994851142168,1.0,0.38526067167891664,0.0,0.48727855067601883,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K10_mpc4_pid_stopgo_T0.5,,30.3,0.0,133.0,13.017314712405206,pid_stopgo,1.0,,,86.55994851142168,Gen15,corridor,1.0,396.0,4,396.0,396.0,,396.0,0.5257647033020542,0.0,0.0,0.0,corridor,0.0,0.0,0.0,0.5
32,corridor|fm|K10,corridor,fm,10,6,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,diffuser,False,diffuser,1,0.0,C,C,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.2947950827387119,38.0,2.5158039379119854,270.0,270.0,0.0854757902453895,85.47579024538949,85.47579024538949,0.0,85.78105866909027,1.0,0.5238995143801042,0.0,0.9667099521036049,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K10_mpc4_pid_stopgo_T0.5,,30.3,0.0,38.0,2.5158039379119854,pid_stopgo,1.0,,,85.78105866909027,Gen15,corridor,1.0,396.0,4,270.0,270.0,,270.0,1.1298299155273155,0.0,0.0,0.0,corridor,0.0,1.0,0.0,0.5
32,corridor|fm|K10,corridor,fm,10,6,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,diffuser,False,diffuser,2,0.0,R,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2412079934152824,217.0,122.37589729295522,396.0,,0.08563412543894215,85.63412543894215,85.63412543894215,0.0,86.03280084207654,1.0,46.85128897081884,0.39814814814814814,0.3073902505153652,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K10_mpc4_pid_stopgo_T0.5,,30.3,0.0,217.0,122.37589729295522,pid_stopgo,1.0,,,86.03280084207654,Gen15,corridor,0.0,396.0,4,396.0,396.0,,396.0,0.3142654895307978,0.0,0.0,0.0,corridor,0.0,0.0,0.0,0.5
32,corridor|fm|K10,corridor,fm,10,6,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,diffuser,False,diffuser,3,0.0,L,L,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.679986249813764,145.0,18.18489449501039,396.0,,0.08576742540856805,85.76742540856804,85.76742540856804,0.0,86.08505362644792,1.0,0.383714300536663,0.0,0.46464594712562596,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K10_mpc4_pid_stopgo_T0.5,,30.3,0.0,145.0,18.18489449501039,pid_stopgo,1.0,,,86.08505362644792,Gen15,corridor,1.0,396.0,4,396.0,396.0,,396.0,0.5295416632931468,0.0,0.0,0.0,corridor,0.0,0.0,0.0,0.5
32,corridor|fm|K10,corridor,fm,10,6,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,diffuser,False,diffuser,4,0.0,C,C,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.2570207465433541,42.0,10.983115251064294,325.0,325.0,0.08547691235175499,85.47691235175499,85.47691235175499,0.0,85.81179641187191,1.0,0.5360233752361134,0.0,0.20760422315764715,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K10_mpc4_pid_stopgo_T0.5,,30.3,0.0,42.0,10.983115251064294,pid_stopgo,1.0,,,85.81179641187191,Gen15,corridor,1.0,396.0,4,325.0,325.0,,325.0,0.9824025094343005,0.0,0.0,0.0,corridor,0.0,1.0,0.0,0.5
32,corridor|fm|K10,corridor,fm,10,6,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,diffuser,False,diffuser,5,0.0,R,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.437712459056794,240.0,105.2872379165887,396.0,,0.08553089541994562,85.53089541994562,85.53089541994562,0.0,85.86786175146699,1.0,66.82131708614534,0.49158249158249157,0.19430351166196658,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K10_mpc4_pid_stopgo_T0.5,,30.3,0.0,240.0,105.2872379165887,pid_stopgo,1.0,,,85.86786175146699,Gen15,corridor,0.0,396.0,4,396.0,396.0,,396.0,0.19430351166196658,0.0,0.0,0.0,corridor,0.0,0.0,0.0,0.5
32,corridor|fm|K10,corridor,fm,10,6,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,diffuser,False,diffuser,6,0.0,L,L,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.28637918823609354,57.0,5.560193687081331,330.0,330.0,0.08577510228549892,85.77510228549892,85.77510228549892,0.0,86.03276703506708,1.0,0.4493386711312432,0.0,0.46340810640188446,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K10_mpc4_pid_stopgo_T0.5,,30.3,0.0,57.0,5.560193687081331,pid_stopgo,1.0,,,86.03276703506708,Gen15,corridor,1.0,396.0,4,330.0,330.0,,330.0,0.6824259124704007,0.0,0.0,0.0,corridor,0.0,1.0,0.0,0.5
32,corridor|fm|K10,corridor,fm,10,6,test,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,diffuser,False,diffuser,7,0.0,C,C,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.29923140758691946,48.0,7.605089156627661,330.0,330.0,0.08538247636434707,85.38247636434707,85.38247636434707,0.0,85.74377354234457,1.0,0.4958235245032348,0.0,0.3726606000004482,/data/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K10_mpc4_pid_stopgo_T0.5,,30.3,0.0,48.0,7.605089156627661,pid_stopgo,1.0,,,85.74377354234457,Gen15,corridor,1.0,396.0,4,330.0,330.0,,330.0,0.9414997441532601,0.0,0.0,0.0,corridor,0.0,1.0,0.0,0.5
