scene,engine,geo,variant,split,K,metric,mean,std,min,max,n,mask,n_candidates,candidates,n_seeds
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,1,track_err_mean,174.58282629289974,103.0873997386119,128.24170772626644,466.81251031892594,10,proj_valid,1,33,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,avg_time,0.01763901312198003,0.00025085018010216056,0.017440661284696273,0.018296205062381547,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,avg_time_ms,17.639013121980028,0.2508501801021604,17.440661284696272,18.296205062381546,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,budget_ms,30.3,0.0,30.3,30.3,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,collision_free_completed,0.0,0.0,0.0,0.0,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,constraint_collision_free,0.0,0.0,0.0,0.0,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,constraint_n_violations,267.2,113.36842593950045,67.0,362.0,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,constraint_total_violations,4644.115119895747,6402.874526720838,7.5859908115863925,17196.139702289987,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,diagnostics_found,1.0,0.0,1.0,1.0,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,fm_ms,17.639013121980028,0.2508501801021604,17.440661284696272,18.296205062381546,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,fm_ms_p95,18.061060030013323,0.41435910151080957,17.518945038318634,18.781019374728203,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,goal_crossed_line,0.9,0.31622776601683794,0.0,1.0,10,all,1,35,1
corridor,fm,corridor_bounds+dynamics+geo_bounds+halfspace+obstacles,diffuser,test,2,goal_dist,24.67531668785805,34.47742719288774,0.26722608530229647,83.72179028652438,10,all,1,35,1
