Candidate,Display,Eval_Tag,scene,engine,engine_label,K,mpc_batch,controller,threshold,run_tag,backbone,data_proportion,alpha_init,alpha_end,train_K,horizon,diffusion_cls,model_name,generation,Seeds,N_Seeds,Missing_Seeds,CB_Sentinels,Latest_Snapshot,Snapshot_By_Seed,Full_Path
16,pillars|K20|Gen11,K20_mpc4_pid_stopgo_T0.5,pillars,,,20.0,4.0,pid_stopgo,0.5,,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen11,6,1,,0,20260706_173205,6:20260706_173205,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-pillars/plans(Bf_Fix14)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5
17,pillars|K20|Gen11,K20_mpc4_mjpc_T0.5,pillars,,,20.0,4.0,mjpc,0.5,,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen11,6,1,,0,20260702_150659,6:20260702_150659,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-pillars/plans(Bf_U8)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_mjpc_T0.5
18,pillars|K20|Gen11,K20_mpc4_pid_const_v_T0.5,pillars,,,20.0,4.0,pid_const_v,0.5,,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen11,6,1,,0,20260702_200754,6:20260702_200754,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-pillars/plans(Bf_U8)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_const_v_T0.5
19,pillars|K20|Gen11,K20_mpc4_pid_stopgo_T0.5,pillars,,,20.0,4.0,pid_stopgo,0.5,,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen11,6,1,,0,20260704_205253,6:20260704_205253,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-pillars/plans(Bf_U8)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5
20,pillars|Gen11,H8_Dmodels.diffusion.FlowMatchingODE,pillars,,,,,,,,,,,,,,,flow_matching_v3_uav,Gen11,6,1,,0,,,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-pillars/plans(E7_U3)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE
21,pillars|Gen11,H8_Dmodels.diffusion.FlowMatchingODE,pillars,,,,,,,,,,,,,,,flow_matching_v3_uav,Gen11,6,1,,0,,,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-pillars/plans(U1)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE
22,pillars|K20|Gen11,K20_mpc4_pid_stopgo_T0.5,pillars,,,20.0,4.0,pid_stopgo,0.5,,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen11,6,1,,0,20260710_213343,6:20260710_213343,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-pillars/plans/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5
23,s_curve|Gen11,H8_Dmodels.diffusion.FlowMatchingODE,s_curve,,,,,,,,,,,,,,,flow_matching_v3_uav,Gen11,6,1,,0,20260628_171438,6:20260628_171438,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-s_curve/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE
24,s_curve|K20|Gen11,K20_mpc4_pid_stopgo_T0.5,s_curve,,,20.0,4.0,pid_stopgo,0.5,,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen11,6,1,,0,,,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-s_curve/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5
25,s_curve|K20|Gen11,K20_mpc4_pid_stopgo_anchorP_T0.5,s_curve,,,20.0,4.0,pid_stopgo_anchorP,0.5,,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen11,6,1,,0,,,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-s_curve/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_anchorP_T0.5
26,s_curve|Gen11,H8_Dmodels.diffusion.FlowMatchingODE,s_curve,,,,,,,,,,,,,,,flow_matching_v3_uav,Gen11,6,1,,0,,,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-s_curve/plans(no_GIF)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE
27,s_curve|Gen11,H8_Dmodels.diffusion.FlowMatchingODE,s_curve,,,,,,,,,,,,,,,flow_matching_v3_uav,Gen11,6,1,,0,,,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-s_curve/plans(with_gif_parts)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE
28,s_curve|K20|Gen11,K20_mpc4_pid_stopgo_T0.5,s_curve,,,20.0,4.0,pid_stopgo,0.5,,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen11,6,1,,0,20260709_101109,6:20260709_101109,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-s_curve/plans/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5
29,corridor|af|K1|bbunet|@EPlatest_u17cv2,Eaf_K1_mpc4_pid_stopgo_T0.5_EPlatest_u17cv2,corridor,af,alpha-Flow (Gen3v7),1.0,4.0,pid_stopgo,0.5,EPlatest_u17cv2,unet,,1,0.2,,8,,H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0.2_bbunet,Gen15,6,1,,0,20260913_171328,6:20260913_171328,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0.2_bbunet/Eaf_K1_mpc4_pid_stopgo_T0.5_EPlatest_u17cv2
30,corridor|af|K1|bbunet|@EPlatest_u7hg,Eaf_K1_mpc4_pid_stopgo_T0.5_EPlatest_u7hg,corridor,af,alpha-Flow (Gen3v7),1.0,4.0,pid_stopgo,0.5,EPlatest_u7hg,unet,,1,0.2,,8,,H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0.2_bbunet,Gen15,6,1,,0,20260907_071511,6:20260907_071511,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0.2_bbunet/Eaf_K1_mpc4_pid_stopgo_T0.5_EPlatest_u7hg
31,corridor|af|K2|bbunet|@EPlatest_u7hg,Eaf_K2_mpc4_pid_stopgo_T0.5_EPlatest_u7hg,corridor,af,alpha-Flow (Gen3v7),2.0,4.0,pid_stopgo,0.5,EPlatest_u7hg,unet,,1,0.2,,8,,H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0.2_bbunet,Gen15,6,1,,0,20260911_221930,6:20260911_221930,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0.2_bbunet/Eaf_K2_mpc4_pid_stopgo_T0.5_EPlatest_u7hg
32,corridor|af|K3|bbunet|@EPlatest_u17cv2,Eaf_K3_mpc4_pid_stopgo_T0.5_EPlatest_u17cv2,corridor,af,alpha-Flow (Gen3v7),3.0,4.0,pid_stopgo,0.5,EPlatest_u17cv2,unet,,1,0.2,,8,,H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0.2_bbunet,Gen15,6,1,,0,20260918_131612,6:20260918_131612,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0.2_bbunet/Eaf_K3_mpc4_pid_stopgo_T0.5_EPlatest_u17cv2
33,corridor|af|K5|bbunet|@EPlatest_u17cv2,Eaf_K5_mpc4_pid_stopgo_T0.5_EPlatest_u17cv2,corridor,af,alpha-Flow (Gen3v7),5.0,4.0,pid_stopgo,0.5,EPlatest_u17cv2,unet,,1,0.2,,8,,H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0.2_bbunet,Gen15,6,1,,0,20260918_155501,6:20260918_155501,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0.2_bbunet/Eaf_K5_mpc4_pid_stopgo_T0.5_EPlatest_u17cv2
34,corridor|af|K5|bbunet|@EPlatest_u7hg,Eaf_K5_mpc4_pid_stopgo_T0.5_EPlatest_u7hg,corridor,af,alpha-Flow (Gen3v7),5.0,4.0,pid_stopgo,0.5,EPlatest_u7hg,unet,,1,0.2,,8,,H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0.2_bbunet,Gen15,6,1,,0,20260911_224040,6:20260911_224040,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0.2_bbunet/Eaf_K5_mpc4_pid_stopgo_T0.5_EPlatest_u7hg
