Candidate_Letter,Folder_Name,Full_Path,Latest_Snapshot,First_Snapshot,Snapshot_Count,Snapshot_By_Seed,Accuracy,Accuracy_Std,Time_ms,Time_Std,Robustness_Score,Missing_Seeds
12,X_H8_K20_T0.1_Dmodels.GaussianDiffusion,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il/plans/diffusion/H8_K20_Dmodels.GaussianDiffusion_aw10/X_H8_K20_T0.1_Dmodels.GaussianDiffusion,20260804_103242,20260804_100750,3,6:20260804_103242,0.6944444444444443,,0.518585280711196,,1.3497419461750748,"[7, 8, 9, 10]"
13,X_H8_K20_T1_Dmodels.GaussianDiffusion,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il/plans/diffusion/H8_K20_Dmodels.GaussianDiffusion_aw10/X_H8_K20_T1_Dmodels.GaussianDiffusion,20260804_162821,20260804_160307,3,6:20260804_162821,0.6944444444444443,,0.5256820730269127,,1.3498349258742683,"[7, 8, 9, 10]"
14,H8_K20_Dmodels.GaussianDiffusion_aw10_thres0.5,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il/plans/diffusion/H8_K20_Dmodels.GaussianDiffusion_aw10_thres0.5,20260509_091817,20260504_161950,5,6:20260509_091817 | 7:20260504_161950 | 8:20260504_164443 | 9:20260504_170630 | 10:20260504_173624,0.75,,0.5175123132645304,,1.9919415286207243,
15,H8_K20_T0.5_Dmodels.GaussianDiffusion_aw1,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il/plans/diffusion/H8_K20_T0.5_Dmodels.GaussianDiffusion_aw1,20260510_102451,20260510_042832,20,6:20260510_102451 | 7:20260510_102451 | 8:20260510_102451 | 9:20260510_102451 | 10:20260510_102451,0.6666666666666666,,0.5470724177739555,,1.9240581088997533,
16,H8_K20_T1_Dmodels.GaussianDiffusion_aw10,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il/plans/diffusion/H8_K20_T1_Dmodels.GaussianDiffusion_aw10,20260509_153238,20260509_092510,20,6:20260509_153238 | 7:20260509_153238 | 8:20260509_153238 | 9:20260509_153238 | 10:20260509_153238,0.75,,0.5201762223903509,,1.9920117916359223,
17,H8_K10_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il/plans/flow_matching_v3_alphaflow(Bf_U3)/H8_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE_aw10_bbdit_tslogit_normal_ai1.0_ae0.0_ag25.0_rf0.5/H8_K10_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,20260724_030710,20260724_024408,3,6:20260724_030710,0.638888888888889,,0.37883236372382867,,1.7255338258154729,"[7, 8, 9, 10]"
18,H8_K1_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il/plans/flow_matching_v3_alphaflow(Bf_U3)/H8_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE_aw10_bbdit_tslogit_normal_ai1.0_ae0.0_ag25.0_rf0.5/H8_K1_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,20260724_021135,20260724_020627,3,6:20260724_021135,0.8055555555555555,,0.024167145563037465,,0.9780779949990654,"[7, 8, 9, 10]"
19,H8_K2_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il/plans/flow_matching_v3_alphaflow(Bf_U3)/H8_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE_aw10_bbdit_tslogit_normal_ai1.0_ae0.0_ag25.0_rf0.5/H8_K2_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,20260724_021953,20260724_021403,3,6:20260724_021953,0.8333333333333334,,0.039723085714764975,,1.009051702288914,"[7, 8, 9, 10]"
20,H8_K5_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il/plans/flow_matching_v3_alphaflow(Bf_U3)/H8_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE_aw10_bbdit_tslogit_normal_ai1.0_ae0.0_ag25.0_rf0.5/H8_K5_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,20260724_023649,20260724_022250,3,6:20260724_023649,0.7777777777777777,,0.20806521402712552,,1.488780379634871,"[7, 8, 9, 10]"
21,H8_K10_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il/plans/flow_matching_v3_alphaflow(Bf_U3)/H8_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE_aw10_bbsit_tslogit_normal_ai1.0_ae0.0_ag25.0_rf0.5/H8_K10_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,20260727_203138,20260727_200843,3,6:20260727_203138,0.7777777777777778,,0.37026910573209865,,0.9524304601217846,"[7, 8, 9, 10]"
