Candidate,Folder_Name,Full_Path,Latest_Snapshot,First_Snapshot,Snapshot_Count,Snapshot_By_Seed,Accuracy,Accuracy_Std,Major_Accuracy,Time_ms,Gen_ms,Proj_ms,NFE_effective,CollisionFree,PhysSafe,GoalDist_m,N_Variants,N_Geos,N_Seeds,Missing_Seeds,scene,engine,K,mpc_batch,controller,threshold,run_tag,backbone,generation
16,pillars|K20|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-pillars/plans(Bf_Fix14)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5,20260706_173205,20260706_142723,2,6:20260706_173205,0.0,0.0,0.0,1914.7127463519064,85.62699563686714,1829.085750715039,20.0,0.0,0.31538461538461543,2.6044383868743988,13,1,1,,pillars,,20.0,4.0,pid_stopgo,0.5,,,Gen11
17,pillars|K20|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-pillars/plans(Bf_U8)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_mjpc_T0.5,20260702_150659,20260702_150659,1,6:20260702_150659,0.0,0.0,0.0,111.8828810819845,87.77423047312938,24.10865060885512,20.0,,,,7,1,1,,pillars,,20.0,4.0,mjpc,0.5,,,Gen11
18,pillars|K20|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-pillars/plans(Bf_U8)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_const_v_T0.5,20260702_200754,20260702_200754,1,6:20260702_200754,0.0,0.0,0.0,108.99873955515139,85.20261858172839,23.79612097342302,20.0,,,,7,1,1,,pillars,,20.0,4.0,pid_const_v,0.5,,,Gen11
19,pillars|K20|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-pillars/plans(Bf_U8)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5,20260704_205253,20260704_205253,1,6:20260704_205253,0.0,0.0,0.0,743.0929166999528,86.88967369595107,656.2032430040018,20.0,,,,10,2,1,,pillars,,20.0,4.0,pid_stopgo,0.5,,,Gen11
20,pillars|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-pillars/plans(E7_U3)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE,,,0,,0.0,0.0,0.0,,176.7882421827827,,,,,,4,1,1,,pillars,,,,,,,,Gen11
21,pillars|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-pillars/plans(U1)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE,,,0,,0.0,0.0,0.0,,179.05146969644247,,,,,,4,1,1,,pillars,,,,,,,,Gen11
22,pillars|K20|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-pillars/plans/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5,20260710_213343,20260710_213343,1,6:20260710_213343,0.0,0.0,0.0,920.1685805312096,88.25036845771537,831.9182120734941,20.0,0.0,0.16428571428571428,1.6567253875464902,14,1,1,,pillars,,20.0,4.0,pid_stopgo,0.5,,,Gen11
23,s_curve|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-s_curve/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE,20260628_171438,20260628_171438,1,6:20260628_171438,0.0,0.0,0.0,154.19299735576334,99.27563470748568,54.91736264827766,,,,,7,7,1,,s_curve,,,,,,,,Gen11
24,s_curve|K20|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-s_curve/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5,,,0,,0.0,0.0,0.0,108.31878400123212,85.84187736203695,22.476906639195157,20.0,,,,7,1,1,,s_curve,,20.0,4.0,pid_stopgo,0.5,,,Gen11
25,s_curve|K20|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-s_curve/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_anchorP_T0.5,,,0,,0.0,0.0,0.0,105.89798553745925,85.52751063908819,20.370474898371054,20.0,,,,7,1,1,,s_curve,,20.0,4.0,pid_stopgo_anchorP,0.5,,,Gen11
26,s_curve|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-s_curve/plans(no_GIF)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE,,,0,,0.0,,,,82.58609056653928,,,,,,1,1,1,,s_curve,,,,,,,,Gen11
27,s_curve|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-s_curve/plans(with_gif_parts)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE,,,0,,1.0,,,,83.30777564696092,,,,,,1,1,1,,s_curve,,,,,,,,Gen11
