Candidate,Folder_Name,Full_Path,Latest_Snapshot,First_Snapshot,Snapshot_Count,Snapshot_By_Seed,Accuracy,Accuracy_Std,Major_Accuracy,Time_ms,Gen_ms,Proj_ms,NFE_effective,CollisionFree,PhysSafe,GoalDist_m,N_Variants,N_Geos,N_Seeds,Missing_Seeds,scene,engine,K,mpc_batch,controller,threshold,run_tag,backbone,generation
48,pillars|af|K2|bbunet|@EPlatest_u6unet_ae02,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0.2_bbunet/Eaf_K2_mpc4_pid_stopgo_T0.5_EPlatest_u6unet_ae02,20260905_025928,20260905_025928,1,6:20260905_025928,0.0,0.0,0.0,79.31392215285999,18.07837507979969,61.23554707306031,2.0,0.0,0.47000000000000003,0.5466726879073772,10,1,1,,pillars,af,2.0,4.0,pid_stopgo,0.5,EPlatest_u6unet_ae02,unet,Gen15
49,pillars|af|K2|bbunet|@EPlatest_u7hg,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0.2_bbunet/Eaf_K2_mpc4_pid_stopgo_T0.5_EPlatest_u7hg,20260907_095135,20260907_095135,1,6:20260907_095135,0.28,0.11661903789690602,0.3,62.61337250554614,18.21562113647037,44.39775136907576,2.0,0.29000000000000004,1.0,0.5712176620101886,10,1,1,,pillars,af,2.0,4.0,pid_stopgo,0.5,EPlatest_u7hg,unet,Gen15
50,pillars|af|K1|bbsit,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0_bbsit/Eaf_K1_mpc4_pid_stopgo_T0.5,20260829_051944,20260829_051944,1,6:20260829_051944,0.0,0.0,0.0,53.153740732587245,6.712896631192091,46.44084410139516,1.9493979036830476,0.0,0.5117647058823529,1.0372493732594936,17,1,1,,pillars,af,1.0,4.0,pid_stopgo,0.5,,sit,Gen15
51,pillars|af|K1|bbsit|@u6sitlatest,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0_bbsit/Eaf_K1_mpc4_pid_stopgo_T0.5_u6sitlatest,20260904_134847,20260904_134847,1,6:20260904_134847,0.0,0.0,0.0,57.66288316049405,6.361426872127601,51.30145628836643,1.0,0.0,0.53,0.7111951506748546,10,1,1,,pillars,af,1.0,4.0,pid_stopgo,0.5,u6sitlatest,sit,Gen15
52,pillars|af|K2|bbsit,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0_bbsit/Eaf_K2_mpc4_pid_stopgo_T0.5,20260829_064323,20260829_064323,1,6:20260829_064323,0.0,0.0,0.0,56.249770270437665,12.542130124656788,43.707640145780886,4.016771773940576,0.0,0.4411764705882353,0.7898006483240723,17,1,1,,pillars,af,2.0,4.0,pid_stopgo,0.5,,sit,Gen15
53,pillars|af|K2|bbsit|@u6sitlatest,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0_bbsit/Eaf_K2_mpc4_pid_stopgo_T0.5_u6sitlatest,20260904_144659,20260904_144659,1,6:20260904_144659,0.0,0.0,0.0,53.091147415701016,12.221741258467,40.86940615723402,2.0,0.0,0.54,0.49613708979969323,10,1,1,,pillars,af,2.0,4.0,pid_stopgo,0.5,u6sitlatest,sit,Gen15
54,pillars|af|K5|bbsit,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0_bbsit/Eaf_K5_mpc4_pid_stopgo_T0.5,20260829_081433,20260829_081433,1,6:20260829_081433,0.0,0.0,0.0,650.0270111860093,35.30064664731656,614.7263645386928,12.710620616751996,0.0,0.40588235294117647,1.0551698605355448,17,1,1,,pillars,af,5.0,4.0,pid_stopgo,0.5,,sit,Gen15
55,pillars|fm|K10,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K10_mpc4_pid_stopgo_T0.5,20260818_130346,20260818_130346,1,6:20260818_130346,0.0,0.0,0.0,2014.1340757008866,94.87822744824862,1919.2558482526379,14.545454545454545,0.0,0.10144927536231883,2.0346804893593533,23,1,1,,pillars,fm,10.0,4.0,pid_stopgo,0.5,,,Gen15
56,pillars|fm|K1,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K1_mpc4_pid_stopgo_T0.5,20260827_172555,20260827_172555,1,6:20260827_172555,0.0,0.0,0.0,143.536477293365,10.604398759267024,132.93207853409797,1.7356745221748004,0.0,0.35294117647058826,2.288242537507496,17,1,1,,pillars,fm,1.0,4.0,pid_stopgo,0.5,,,Gen15
57,pillars|fm|K20,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K20_mpc4_pid_stopgo_T0.5,20260827_234036,20260827_234036,1,6:20260827_234036,0.0,0.0,0.0,5869.2089980913015,177.8645146734287,5691.344483417873,20.0,0.0,0.05,1.9370147963463658,4,1,1,,pillars,fm,20.0,4.0,pid_stopgo,0.5,,,Gen15
58,pillars|fm|K2,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K2_mpc4_pid_stopgo_T0.5,20260827_203140,20260827_203140,1,6:20260827_203140,0.0,0.0,0.0,132.33152203373672,19.34316119968186,112.98836083405487,3.2956831658992134,0.0,0.4588235294117647,1.5944890835502739,17,1,1,,pillars,fm,2.0,4.0,pid_stopgo,0.5,,,Gen15
59,pillars|fm|K2|@u7hg,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K2_mpc4_pid_stopgo_T0.5_u7hg,20260906_052101,20260906_052101,1,6:20260906_052101,0.32,0.10770329614269007,0.3428571428571429,63.85022188245949,17.276401572717266,46.573820309742224,2.0,0.32,1.0,0.4951239454794226,10,1,1,,pillars,fm,2.0,4.0,pid_stopgo,0.5,u7hg,,Gen15
60,pillars|fm|K5,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K5_mpc4_pid_stopgo_T0.5,20260827_234031,20260827_234031,1,6:20260827_234031,0.0,0.0,0.0,666.4143004133934,50.93906833835095,615.4752320750425,11.876140845253346,0.0,0.34117647058823536,1.3096372946089359,17,1,1,,pillars,fm,5.0,4.0,pid_stopgo,0.5,,,Gen15
61,pillars|fm|K5|@u7hg,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K5_mpc4_pid_stopgo_T0.5_u7hg,20260907_061842,20260907_061842,1,6:20260907_061842,0.26,0.3555277766926236,0.26,827.5743354095484,43.5338962906068,784.0404391189417,5.0,0.6,0.76,0.5269584710842521,5,1,1,,pillars,fm,5.0,4.0,pid_stopgo,0.5,u7hg,,Gen15
62,pillars|mf|K10|bbunet|dp0.5,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K10_mpc4_pid_stopgo_T0.5,20260816_205837,20260816_205837,1,6:20260816_205837,0.0,0.0,0.0,779.2309170553883,100.91338523694027,678.3175318184483,16.52173913043478,0.0,0.17391304347826086,51.71017493490478,23,1,1,,pillars,mf,10.0,4.0,pid_stopgo,0.5,,unet,Gen15
63,pillars|mf|K1|bbunet|dp0.5,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K1_mpc4_pid_stopgo_T0.5,20260828_134908,20260828_134908,1,6:20260828_134908,0.0,0.0,0.0,66.82435643286914,9.907876199444733,56.916480233424394,1.9504998850084643,0.0,0.43529411764705883,1.393724175435264,17,1,1,,pillars,mf,1.0,4.0,pid_stopgo,0.5,,unet,Gen15
64,pillars|mf|K1|bbunet|dp0.5|@fix16legacy,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K1_mpc4_pid_stopgo_T0.5_fix16legacy,20260903_004411,20260903_004411,1,6:20260903_004411,0.0,0.0,0.0,73.92127436129368,9.495804693469267,64.42546966782442,1.0,0.0,0.38,1.697555117180745,10,1,1,,pillars,mf,1.0,4.0,pid_stopgo,0.5,fix16legacy,unet,Gen15
65,pillars|mf|K1|bbunet|dp0.5|@fix16scaled,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K1_mpc4_pid_stopgo_T0.5_fix16scaled,20260903_105414,20260903_105414,1,6:20260903_105414,0.0,0.0,0.0,94.60574553573929,9.428947465977707,85.17679806976159,1.0,0.0,0.45,0.6514026706485018,10,1,1,,pillars,mf,1.0,4.0,pid_stopgo,0.5,fix16scaled,unet,Gen15
66,pillars|mf|K2|bbunet|dp0.5,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K2_mpc4_pid_stopgo_T0.5,20260828_152951,20260828_152951,1,6:20260828_152951,0.0,0.0,0.0,70.52709395534035,18.76905906668756,51.75803488865278,3.9002240292230814,0.0,0.4176470588235294,1.3729861259973357,17,1,1,,pillars,mf,2.0,4.0,pid_stopgo,0.5,,unet,Gen15
67,pillars|mf|K2|bbunet|dp0.5|@fix16legacy,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K2_mpc4_pid_stopgo_T0.5_fix16legacy,20260903_014809,20260903_014809,1,6:20260903_014809,0.0,0.0,0.0,77.98373489867274,18.41930509342056,59.564429805252175,2.0,0.0,0.34,1.6636147762638855,10,1,1,,pillars,mf,2.0,4.0,pid_stopgo,0.5,fix16legacy,unet,Gen15
68,pillars|mf|K2|bbunet|dp0.5|@fix16scaled,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K2_mpc4_pid_stopgo_T0.5_fix16scaled,20260903_121928,20260903_121928,1,6:20260903_121928,0.0,0.0,0.0,83.29861249856,18.083595144700418,65.2150173538596,2.0,0.0,0.45,0.5297399427874085,10,1,1,,pillars,mf,2.0,4.0,pid_stopgo,0.5,fix16scaled,unet,Gen15
69,pillars|mf|K2|bbunet|dp0.5|@u7hg,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K2_mpc4_pid_stopgo_T0.5_u7hg,20260906_034144,20260906_034144,1,6:20260906_034144,0.37,0.1345362404707371,0.4285714285714285,57.056037834461655,18.347480292840853,38.708557541620806,2.0,0.38,1.0,0.5036520402224182,10,1,1,,pillars,mf,2.0,4.0,pid_stopgo,0.5,u7hg,unet,Gen15
70,pillars|mf|K5|bbunet|dp0.5,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K5_mpc4_pid_stopgo_T0.5,20260828_171343,20260828_171343,1,6:20260828_171343,0.0,0.0,0.0,636.3304446908527,53.46858082016632,582.8618638706864,12.38117016176713,0.011764705882352941,0.38235294117647056,2.057194012481309,17,1,1,,pillars,mf,5.0,4.0,pid_stopgo,0.5,,unet,Gen15
71,pillars|mf|K5|bbunet|dp0.5|@fix16legacy,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K5_mpc4_pid_stopgo_T0.5_fix16legacy,20260903_025350,20260903_025350,1,6:20260903_025350,0.0,0.0,0.0,868.1583727176541,46.66794559543168,821.4904271222225,5.0,0.018181818181818184,0.303030303030303,2.649778373634068,11,1,1,,pillars,mf,5.0,4.0,pid_stopgo,0.5,fix16legacy,unet,Gen15
72,pillars|mf|K5|bbunet|dp0.5|@fix16scaled,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K5_mpc4_pid_stopgo_T0.5_fix16scaled,20260903_123850,20260903_123850,1,6:20260903_123850,0.0,0.0,0.0,1519.5597670412967,44.85619956927392,1474.7035674720228,5.0,0.0,0.22000000000000003,0.5616813708323158,5,1,1,,pillars,mf,5.0,4.0,pid_stopgo,0.5,fix16scaled,unet,Gen15
73,s_curve|diffusion|K20,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-s_curve/plans(Bf_U5)/mix_uav_diffusion/H8_Dmodels.ddpm_diffusion.GaussianDiffusion_9D_K20/Ediffusion_K20_mpc4_pid_stopgo_T0.5,20260826_093227,20260826_093227,1,6:20260826_093227,0.0,0.0,0.0,1645.9295221774141,166.6770731817309,1479.2524489956827,20.0,0.1,0.0,2.932459315071038,20,1,1,,s_curve,diffusion,20.0,4.0,pid_stopgo,0.5,,,Gen15
74,s_curve|fm|K10,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-s_curve/plans(Bf_U5)/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K10_mpc4_pid_stopgo_T0.5,20260826_194532,20260818_072855,2,6:20260826_194532,0.0,0.0,0.0,509.021476716887,95.11741074400085,413.9040659728862,10.0,0.04,0.08,4.07929997267514,20,1,1,,s_curve,fm,10.0,4.0,pid_stopgo,0.5,,,Gen15
75,s_curve|fm|K1,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-s_curve/plans(Bf_U5)/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K1_mpc4_pid_stopgo_T0.5,20260826_144000,20260826_144000,1,6:20260826_144000,0.0,0.0,0.0,48.9473337500711,11.203870162087055,37.74346358798404,1.0,0.0,0.19,3.425578800451229,20,1,1,,s_curve,fm,1.0,4.0,pid_stopgo,0.5,,,Gen15
76,s_curve|fm|K20,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-s_curve/plans(Bf_U5)/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K20_mpc4_pid_stopgo_T0.5,20260825_203152,20260825_203152,1,6:20260825_203152,0.0,0.0,0.0,1286.0546683195696,170.85647837738682,1115.198189942183,20.0,0.15,0.05,4.299329561765271,20,1,1,,s_curve,fm,20.0,4.0,pid_stopgo,0.5,,,Gen15
77,s_curve|fm|K2,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-s_curve/plans(Bf_U5)/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K2_mpc4_pid_stopgo_T0.5,20260826_152812,20260826_152812,1,6:20260826_152812,0.0,0.0,0.0,58.76032485421676,20.97939644569998,37.78092840851677,2.0,0.01,0.2,3.436934516561157,20,1,1,,s_curve,fm,2.0,4.0,pid_stopgo,0.5,,,Gen15
78,s_curve|fm|K5,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-s_curve/plans(Bf_U5)/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K5_mpc4_pid_stopgo_T0.5,20260826_162435,20260826_162435,1,6:20260826_162435,0.0,0.0,0.0,297.9104924027631,51.08880173940105,246.82169066336215,5.0,0.02,0.1,4.095306509884057,20,1,1,,s_curve,fm,5.0,4.0,pid_stopgo,0.5,,,Gen15
79,s_curve|mf|K10|bbunet|dp0.5,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-s_curve/plans(Bf_U5)/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K10_mpc4_pid_stopgo_T0.5,20260827_061938,20260815_185317,2,6:20260827_061938,0.0,0.0,0.0,1485.455358066989,97.96596208267052,1387.4893959843184,14.545454545454545,0.6260869565217391,0.034782608695652174,4.65005386512702,23,1,1,,s_curve,mf,10.0,4.0,pid_stopgo,0.5,,unet,Gen15
80,s_curve|mf|K1|bbunet|dp0.5,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-s_curve/plans(Bf_U5)/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K1_mpc4_pid_stopgo_T0.5,20260827_013305,20260827_013305,1,6:20260827_013305,0.0,0.0,0.0,31.350146783648263,9.581950164076828,21.768196619571434,1.0,0.6199999999999999,0.11000000000000001,3.7706132494760114,20,1,1,,s_curve,mf,1.0,4.0,pid_stopgo,0.5,,unet,Gen15
81,s_curve|mf|K20|bbunet|dp0.5,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-s_curve/plans(Bf_U5)/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K20_mpc4_pid_stopgo_T0.5,20260825_215437,20260825_215437,1,6:20260825_215437,0.0,0.0,0.0,2008.6135950462449,200.6737771132851,1807.9398179329596,20.0,0.82,0.02,4.509100236624593,20,1,1,,s_curve,mf,20.0,4.0,pid_stopgo,0.5,,unet,Gen15
82,s_curve|mf|K2|bbunet|dp0.5,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-s_curve/plans(Bf_U5)/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K2_mpc4_pid_stopgo_T0.5,20260827_015822,20260827_015822,1,6:20260827_015822,0.01,0.04358898943540674,0.0,38.01792510173975,18.38090190955331,19.63702319218644,2.0,0.71,0.09,3.7969480056963683,20,1,1,,s_curve,mf,2.0,4.0,pid_stopgo,0.5,,unet,Gen15
83,s_curve|mf|K5|bbunet|dp0.5,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-s_curve/plans(Bf_U5)/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K5_mpc4_pid_stopgo_T0.5,20260827_022656,20260827_022656,1,6:20260827_022656,0.0,0.0,0.0,443.01672041181257,44.52363192579149,398.4930884860211,5.0,0.6900000000000001,0.02,4.48369504642832,20,1,1,,s_curve,mf,5.0,4.0,pid_stopgo,0.5,,unet,Gen15
84,s_curve|af|K1|bbunet|@EPlatest_u6unet_ae02,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-s_curve/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0.2_bbunet/Eaf_K1_mpc4_pid_stopgo_T0.5_EPlatest_u6unet_ae02,20260906_095817,20260906_095817,1,6:20260906_095817,0.0,0.0,0.0,101.21425801871644,9.361921700172381,91.85233631854408,1.0,0.0,0.43,1.3214360592680996,10,1,1,,s_curve,af,1.0,4.0,pid_stopgo,0.5,EPlatest_u6unet_ae02,unet,Gen15
85,s_curve|af|K2|bbunet|@EPlatest_u6unet_ae02,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-s_curve/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0.2_bbunet/Eaf_K2_mpc4_pid_stopgo_T0.5_EPlatest_u6unet_ae02,20260906_110830,20260906_110830,1,6:20260906_110830,0.0,0.0,0.0,79.80455678211686,18.380802627524833,61.42375415459202,2.0,0.0,0.26,1.9627482123335642,10,1,1,,s_curve,af,2.0,4.0,pid_stopgo,0.5,EPlatest_u6unet_ae02,unet,Gen15
86,s_curve|af|K5|bbunet|@EPlatest_u6unet_ae02,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-s_curve/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0.2_bbunet/Eaf_K5_mpc4_pid_stopgo_T0.5_EPlatest_u6unet_ae02,20260906_115232,20260906_115232,1,6:20260906_115232,0.03529411764705883,0.06809315825170721,0.04,747.1683999115602,53.26550270822986,693.9028972033302,10.313209237417189,0.03529411764705883,0.17647058823529416,1.8258574245451458,17,1,1,,s_curve,af,5.0,4.0,pid_stopgo,0.5,EPlatest_u6unet_ae02,unet,Gen15
87,s_curve|af|K2|bbsit|@u6unet_ae0,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-s_curve/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0_bbsit/Eaf_K2_mpc4_pid_stopgo_T0.5_u6unet_ae0,20260904_202454,20260904_202454,1,6:20260904_202454,0.0,0.0,0.0,53.356362544333834,12.175053684352392,41.181308859981435,2.0,0.0,0.24,2.0239798738979977,10,1,1,,s_curve,af,2.0,4.0,pid_stopgo,0.5,u6unet_ae0,sit,Gen15
88,s_curve|af|K5|bbsit|@u6unet_ae0,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-s_curve/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0_bbsit/Eaf_K5_mpc4_pid_stopgo_T0.5_u6unet_ae0,20260904_212748,20260904_212748,1,6:20260904_212748,0.0,0.0,0.0,609.0872726199824,35.705966469047425,573.381306150935,10.998067233063864,0.22941176470588234,0.14705882352941177,3.0904805177656303,17,1,1,,s_curve,af,5.0,4.0,pid_stopgo,0.5,u6unet_ae0,sit,Gen15
89,s_curve|diffusion|K20,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-s_curve/plans/mix_uav_diffusion/H8_Dmodels.ddpm_diffusion.GaussianDiffusion_9D_K20/Ediffusion_K20_mpc4_pid_stopgo_T0.5,20260828_234046,20260828_234046,1,6:20260828_234046,0.0,0.0,0.0,3377.4702960175073,176.4041204835441,3201.0661755339634,20.0,0.0,0.0,2.456725486944677,8,1,1,,s_curve,diffusion,20.0,4.0,pid_stopgo,0.5,,,Gen15
90,s_curve|fm|K20|@u7hg,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-s_curve/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K20_mpc4_pid_stopgo_T0.5_u7hg,20260907_110003,20260907_110003,1,6:20260907_110003,0.0,0.0,0.0,1736.2843792157878,170.7518674363376,1565.53251177945,20.0,0.0,0.3,1.5714945370248061,2,1,1,,s_curve,fm,20.0,4.0,pid_stopgo,0.5,u7hg,,Gen15
91,s_curve|fm|K2|@u7hg,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-s_curve/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K2_mpc4_pid_stopgo_T0.5_u7hg,20260906_063033,20260906_063033,1,6:20260906_063033,0.02,0.04,0.014285714285714287,89.9851660674581,17.452009499488764,72.53315656796934,2.0,0.02,0.6199999999999999,1.0447066262396905,10,1,1,,s_curve,fm,2.0,4.0,pid_stopgo,0.5,u7hg,,Gen15
92,s_curve|mf|K2|bbunet|dp0.5|@u7hg,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-s_curve/plans/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K2_mpc4_pid_stopgo_T0.5_u7hg,20260906_052749,20260906_052749,1,6:20260906_052749,0.0,0.0,0.0,64.79509329988835,18.321614227693424,46.47347907219491,2.0,0.0,0.06999999999999999,2.477826518794908,10,1,1,,s_curve,mf,2.0,4.0,pid_stopgo,0.5,u7hg,unet,Gen15
