Rank,Candidate,Folder,Accuracy (%),Accuracy Std (%),Time (ms),Time Std (ms),Robustness
1,39,K10_thres0_mpc1_n2,100.0,,0.28684797936889805,,6.313093670241889
2,40,K20_thres0.5_mpc1_n2,100.0,,0.4813279461151171,,10.871600706516102
3,41,K20_thres0_mpc1_n2,100.0,,0.6102314833668363,,11.177023475700292
4,42,K20_thres0_mpc4_n2,100.0,,1.7424579917620433,,20.417026924489544
5,30,H8_K1_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,89.58333333333334,,0.03083840313698713,,6.08295265626646
6,22,H8_K1_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,88.8888888888889,,0.014268661165544488,,1.3278862333609913
7,46,K20_thres0.5_mpc4_n2,86.66666666666667,,1.365825621071549,,101.17666606271322
8,19,H8_K2_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,83.33333333333334,,0.039723085714764975,,1.009051702288914
9,49,K20_thres0.1_mpc4_n2,83.33333333333334,,0.3799996357706823,,64.72876629675872
10,50,K20_thres0.5_mpc4_n2,83.33333333333334,,0.8250568787407303,,20.89240307637432
11,37,H8_K5_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,81.77083333333334,,0.18981776304274406,,5.66175582489381
12,24,H8_K5_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,80.55555555555557,,0.1984566782984157,,0.9340818835697287
13,18,H8_K1_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,80.55555555555554,,0.024167145563037465,,0.9780779949990654
14,91,H8_K2_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,80.55555555555554,,0.03847298658473972,,1.049503709052601
15,120,H8_K10_Meuler_T1_Dmodels.diffusion.GaussianDiffusion,79.44444444444443,,0.8990273001022899,,1.7082914932769022
16,105,H8_K10_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,79.16666666666667,,0.3901311928865666,,12.847519859341787
17,35,H8_K1_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,78.64583333333333,,0.018539600866773427,,2.659636496542209
18,34,H8_K10_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,78.125,,0.32016304716017796,,12.09413379753123
19,21,H8_K10_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,77.77777777777779,,0.37026910573209865,,0.9524304601217846
20,20,H8_K5_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,77.77777777777777,,0.20806521402712552,,1.488780379634871
21,48,K20_thres0.05_mpc4_n2,77.77777777777777,,0.3326994696373055,,62.1417286478446
22,88,H8_K1_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,77.77777777777777,,0.02810464840237231,,0.8270354601109431
23,1,H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4,75.0,,9.212572100576624,,0.5168448687485785
24,4,H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4_filmv2,75.0,,4.03206348055337,,2.197861748206062
25,5,H8_K20_T0.5_Ddiffuser_visual_avoiding.models.visual_gaussian_diffusion.VisualGaussianDiffusion_VTrue_steps200_mpc4,75.0,,0.4862641585061558,,1.0712038919393247
26,14,H8_K20_Dmodels.GaussianDiffusion_aw10_thres0.5,75.0,,0.5175123132645304,,1.9919415286207243
27,16,H8_K20_T1_Dmodels.GaussianDiffusion_aw10,75.0,,0.5201762223903509,,1.9920117916359223
28,44,K5_thres0_mpc1_n2,75.0,,0.14944996664298377,,10.004410522296086
29,85,H8_K2_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,75.0,,0.037101893198280084,,0.7652321781791803
30,97,H8_K10_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,72.91666666666667,,0.3814818669001116,,12.895373285823645
31,110,"H8_K2_Meuler_T0,5_Dflow_matcher_v3_meanflow.models.MeanFlowODE",72.91666666666666,,0.04474802484667314,,3.4529216656971946
32,66,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,72.22222222222223,,0.4268377768013521,,0.8536290085689694
33,102,H8_K2_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,72.22222222222221,,0.03789926976822409,,0.739261300204609
34,118,H8_K5_Meuler_T0.5_Dmodels.diffusion.FlowMatchingODE,72.22222222222221,,0.11112404904204988,,1.3088817645321729
35,33,H8_K5_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,70.83333333333334,,0.1970046923811526,,8.49503580663513
36,119,H8_K10_Dmodels.diffusion.GaussianDiffusion,70.55555555555556,,0.18355172235159142,,2.323974764364599
37,10,H8_K20_T1_Dmodels.GaussianDiffusion,69.44444444444446,,1.8759087539979793,,2.613281273094289
38,122,H8_K20_Meuler_Dmodels.diffusion.GaussianDiffusion,69.44444444444446,,0.49301990236978027,,2.888529208032919
39,11,X_H8_K20_T0.05_Dmodels.GaussianDiffusion,69.44444444444443,,0.523817799386293,,1.3497737112207657
40,12,X_H8_K20_T0.1_Dmodels.GaussianDiffusion,69.44444444444443,,0.518585280711196,,1.3497419461750748
41,13,X_H8_K20_T1_Dmodels.GaussianDiffusion,69.44444444444443,,0.5256820730269127,,1.3498349258742683
42,116,H8_K20_Meuler_T0.1_Dmodels.diffusion.FlowMatchingODE,69.44444444444443,,0.18968738496934814,,1.027297157752894
43,29,H8_K10_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,68.75,,0.39325984320881335,,13.113492093527126
44,109,H8_K5_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,68.75,,0.2217592003101035,,6.079684982126672
45,121,H8_K1_Meuler_T0.5_Dmodels.diffusion.GaussianDiffusion,68.33333333333333,,0.018548036005825972,,1.4598089866036768
46,124,H8_K10_Meuler_Dmodels.diffusion.GaussianDiffusion,68.33333333333333,,0.18497272888690708,,2.049428120359858
47,117,H8_K20_Meuler_T0.5_Dmodels.diffusion.FlowMatchingODE,67.77777777777777,,0.5251500647330564,,2.231446526375333
48,123,H8_K5_Mmidpoint_Dmodels.diffusion.GaussianDiffusion,67.77777777777777,,0.1503797588533413,,2.2035084806674634
49,15,H8_K20_T0.5_Dmodels.GaussianDiffusion_aw1,66.66666666666666,,0.5470724177739555,,1.9240581088997533
50,43,K2_thres0_mpc1_n2,66.66666666666666,,0.052136827166281124,,3.521114002321926
51,52,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,66.66666666666666,,0.4959228520052386,,1.5801486856638232
52,53,H8_K2_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,66.66666666666666,,0.060289406941576064,,0.9066474575120341
53,83,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,66.66666666666666,,0.387435829152581,,1.1157248993535167
54,92,H8_K2_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,66.66666666666666,,0.03774597146579633,,1.8188397576865314
55,99,H8_K20_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,66.66666666666666,,0.9276271775321916,,41.09577882034185
56,101,H8_K5_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,66.66666666666666,,0.21638348834870308,,5.958607689194609
57,113,H8_K10_Meuler_T0.05_Dmodels.diffusion.FlowMatchingODE,66.66666666666666,,0.09387530292997691,,1.1147375342751278
58,114,H8_K10_Meuler_T0.1_Dmodels.diffusion.FlowMatchingODE,66.66666666666666,,0.09415227907446216,,1.1147343704807267
59,36,H8_K2_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,65.83333333333334,,0.03336949943954555,,24.313146721003854
60,107,H8_K20_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,64.58333333333333,,0.9243913271219681,,41.10902431819271
61,17,H8_K10_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,63.88888888888889,,0.37883236372382867,,1.7255338258154729
62,67,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,63.88888888888889,,0.6384359424032199,,1.9595846239101324
63,84,H8_K1_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,63.88888888888889,,0.0317856329120872,,1.076349751568058
64,7,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5,63.33333333333333,,0.29867651375087007,,1.8607837442932074
65,31,H8_K20_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,62.5,,0.9365117654010434,,32.135258568320715
66,2,(old_no_mpc_traj)H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4,61.61616161616163,,8.094547430308419,,2.0408155975726667
67,87,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,61.111111111111114,,0.3766862058524654,,1.693321451337609
68,86,H8_K50_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,61.11111111111111,,2.826400634090572,,0.8651696003916114
69,115,H8_K20_Meuler_T0.05_Dmodels.diffusion.FlowMatchingODE,61.11111111111111,,0.17855297133387338,,0.9386060930348551
70,38,H8_K10_Meuler_T0.5_Dmodels.diffusion.GaussianDiffusion,58.333333333333336,,0.17482318375552167,,1.9677301933681186
71,54,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,58.333333333333336,,0.4550292989258491,,1.8136583153606847
72,6,H8_K20_T0.5_Ddiffuser_visual_avoiding.models.visual_gaussian_diffusion.VisualGaussianDiffusion_VTrue_steps200_mpc4,56.666666666666664,,0.5660697696761865,,1.9548480255231746
73,94,H8_K20_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,56.25,,0.9445911593508576,,33.03002028211598
74,96,H8_K5_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,56.25,,0.2199173709299061,,10.599177056372955
75,89,H8_K2_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,55.55555555555557,,0.038863297858102504,,0.9637674674339041
76,60,H8_K20_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,55.55555555555556,,1.109663479038443,,1.7573098243613472
77,108,H8_K2_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,54.166666666666664,,0.04040962251127084,,22.528278083265356
78,55,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,52.77777777777778,,0.48172675408790183,,1.8614680102926522
79,103,H8_K2_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,50.000000000000014,,0.02451764694221985,,0.6840551659271963
80,3,H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4_filmv1,50.0,,0.8241979767380122,,1.8683474537588556
81,93,H8_K1_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,50.0,,0.04918694402494177,,5.52964758071691
82,106,H8_K1_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,50.0,,0.05227293880004807,,4.909197245639004
83,65,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,49.99999999999999,,0.5212479080327758,,1.4857273369094053
84,95,H8_K2_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,47.91666666666667,,0.04295820899775732,,4.3551094043976
85,98,H8_K1_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,47.916666666666664,,0.052037277107281184,,4.836789667504513
86,59,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,47.22222222222223,,0.4277725139594925,,1.9818544478506035
87,68,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,47.22222222222223,,0.6027880989306985,,2.17683864771455
88,62,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,47.222222222222214,,0.4883378997298318,,1.6845225035021054
89,63,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,47.222222222222214,,0.5010685531442934,,1.9389621579594283
90,64,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,47.222222222222214,,0.5523157985964927,,1.0587206540277765
91,78,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,47.222222222222214,,0.6386795671910493,,2.738823357342205
92,82,H8_K100_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,47.222222222222214,,6.847778416809258,,1.6652380771701962
93,23,H8_K2_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,44.44444444444444,,0.030316341366960486,,1.2058628962747742
