[2026-04-23T13:40:06.930445] loop_idx=6, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:07.046100] loop_idx=7, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:07.125501] loop_idx=8, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:07.205195] loop_idx=9, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:07.368042] loop_idx=0, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:07.439103] loop_idx=1, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:07.508567] loop_idx=2, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:07.568327] loop_idx=3, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:07.624627] loop_idx=4, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:07.684503] loop_idx=5, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:07.840518] loop_idx=6, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:08.020683] loop_idx=7, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:08.095665] loop_idx=8, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:08.178988] loop_idx=9, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:08.340628] loop_idx=0, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:08.412103] loop_idx=1, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:08.478322] loop_idx=2, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:08.535107] loop_idx=3, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:08.592758] loop_idx=4, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:08.648670] loop_idx=5, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:08.781725] loop_idx=6, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:08.981259] loop_idx=7, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:09.091682] loop_idx=8, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:09.199311] loop_idx=9, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:09.477351] loop_idx=0, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:09.617495] loop_idx=1, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:09.690100] loop_idx=2, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:09.762684] loop_idx=3, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:09.837209] loop_idx=4, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:09.907674] loop_idx=5, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:10.183293] loop_idx=6, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:10.370272] loop_idx=7, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:10.482088] loop_idx=8, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:10.569829] loop_idx=9, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:10.825974] loop_idx=0, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:10.971935] loop_idx=1, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:11.043816] loop_idx=2, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:11.113597] loop_idx=3, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:11.187260] loop_idx=4, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:11.255385] loop_idx=5, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:11.485987] loop_idx=6, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:11.714148] loop_idx=7, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:11.826553] loop_idx=8, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:11.912749] loop_idx=9, backend=torchdiffeq, method=rk4
