Candidate,FolderName,seed,split,geo,variant,source,legacy,legacy_kind,has_projector,n_rollouts,n_frozen,frozen_rate,n_cb_tripped,cb_skipped_steps,npz_complete,FullPath,geo_base,tightened,variant_raw,n_diagnostics_json,npz_path,legacy_avg_time_source
1,post_U3,42,test,none,d3il_baseline,npz,1.0,d3il_visual_aligning_baseline,0.0,1080,0,0.0,0,0.0,1.0,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,none,False,d3il_baseline,1080,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision/42/results/d3il_baseline/d3il_baseline.npz,
2,Bf_U3,0,test,none,d3il_baseline,npz,1.0,d3il_visual_aligning_baseline,0.0,462,0,0.0,0,0.0,1.0,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline_Bf_U3/d3il_baseline_ddpm_encdec_vision__Bf_U3,none,False,d3il_baseline,462,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline_Bf_U3/d3il_baseline_ddpm_encdec_vision__Bf_U3/0/results/d3il_baseline/d3il_baseline.npz,missing
2,Bf_U3,1,test,none,d3il_baseline,npz,1.0,d3il_visual_aligning_baseline,0.0,473,0,0.0,0,0.0,1.0,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline_Bf_U3/d3il_baseline_ddpm_encdec_vision__Bf_U3,none,False,d3il_baseline,473,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline_Bf_U3/d3il_baseline_ddpm_encdec_vision__Bf_U3/1/results/d3il_baseline/d3il_baseline.npz,missing
2,Bf_U3,2,test,none,d3il_baseline,npz,1.0,d3il_visual_aligning_baseline,0.0,468,0,0.0,0,0.0,1.0,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline_Bf_U3/d3il_baseline_ddpm_encdec_vision__Bf_U3,none,False,d3il_baseline,468,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline_Bf_U3/d3il_baseline_ddpm_encdec_vision__Bf_U3/2/results/d3il_baseline/d3il_baseline.npz,missing
2,Bf_U3,3,test,none,d3il_baseline,npz,1.0,d3il_visual_aligning_baseline,0.0,466,0,0.0,0,0.0,1.0,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline_Bf_U3/d3il_baseline_ddpm_encdec_vision__Bf_U3,none,False,d3il_baseline,466,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline_Bf_U3/d3il_baseline_ddpm_encdec_vision__Bf_U3/3/results/d3il_baseline/d3il_baseline.npz,missing
2,Bf_U3,4,test,none,d3il_baseline,npz,1.0,d3il_visual_aligning_baseline,0.0,467,0,0.0,0,0.0,1.0,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline_Bf_U3/d3il_baseline_ddpm_encdec_vision__Bf_U3,none,False,d3il_baseline,467,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline_Bf_U3/d3il_baseline_ddpm_encdec_vision__Bf_U3/4/results/d3il_baseline/d3il_baseline.npz,missing
2,Bf_U3,42,test,none,d3il_baseline,npz,1.0,d3il_visual_aligning_baseline,0.0,468,0,0.0,0,0.0,1.0,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline_Bf_U3/d3il_baseline_ddpm_encdec_vision__Bf_U3,none,False,d3il_baseline,468,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline_Bf_U3/d3il_baseline_ddpm_encdec_vision__Bf_U3/42/results/d3il_baseline/d3il_baseline.npz,missing
