Candidate,Folder_Name,Full_Path,Missing_Seeds,Latest_Snapshot,seed,variant,constraint_type,halfspace_variant,metric,value
1,post_U3,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,,20260701_013505,42,d3il_baseline,test,none,n_success,0.0
1,post_U3,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,,20260701_013505,42,d3il_baseline,test,none,n_success_and_constraints,
1,post_U3,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,,20260701_013505,42,d3il_baseline,test,none,mean_dist_per_rollout,0.40088680340144456
1,post_U3,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,,20260701_013505,42,d3il_baseline,test,none,n_steps,400.0
1,post_U3,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,,20260701_013505,42,d3il_baseline,test,none,avg_time,0.022660185185185183
1,post_U3,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,,20260701_013505,42,d3il_baseline,test,none,avg_time_ms,22.660185185185185
1,post_U3,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,,20260701_013505,42,d3il_baseline,test,none,context_box_angle_deg,-11.862369660039743
1,post_U3,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,,20260701_013505,42,d3il_baseline,test,none,context_box_init_xy_x,0.5175060629844666
1,post_U3,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,,20260701_013505,42,d3il_baseline,test,none,context_box_init_xy_y,-0.16934162105123202
1,post_U3,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,,20260701_013505,42,d3il_baseline,test,none,context_final_box_angle_deg,-6.515042210319115
1,post_U3,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,,20260701_013505,42,d3il_baseline,test,none,context_final_box_xy_x,0.5342906819219845
1,post_U3,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,,20260701_013505,42,d3il_baseline,test,none,context_final_box_xy_y,-0.07473267663081525
1,post_U3,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline/d3il_baseline_ddpm_encdec_vision,,20260701_013505,42,d3il_baseline,test,none,context_final_xy_dist,0.4274111908015834
