seed,variant,constraint_type,halfspace_variant,metric,value,Candidate,Folder_Name
6,dpcc-r,halfspace,both-hard,collision_free_completed_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-right-hard,n_success,1.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-right-hard,n_success_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-right-hard,n_success_and_constraints,1.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-right-hard,n_success_and_constraints_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-right-hard,n_steps,63.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-right-hard,n_steps_std,1.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-right-hard,n_violations,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-right-hard,n_violations_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-right-hard,total_violations,4.075467585455683e-08,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-right-hard,total_violations_std,3.1590461722214025e-09,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-right-hard,avg_time,0.3650177854166433,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-right-hard,avg_time_std,0.045693811145668894,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-right-hard,collision_free_completed,1.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-right-hard,collision_free_completed_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-left-hard,n_success,1.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-left-hard,n_success_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-left-hard,n_success_and_constraints,1.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-left-hard,n_success_and_constraints_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-left-hard,n_steps,63.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-left-hard,n_steps_std,0.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-left-hard,n_violations,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-left-hard,n_violations_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-left-hard,total_violations,4.199519752431935e-08,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-left-hard,total_violations_std,3.6768615235827085e-09,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-left-hard,avg_time,0.3554080054459591,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-left-hard,avg_time_std,0.012624930619956953,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-left-hard,collision_free_completed,1.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-left-hard,collision_free_completed_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,both-hard,n_success,1.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,both-hard,n_success_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,both-hard,n_success_and_constraints,0.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,both-hard,n_success_and_constraints_std,0.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,both-hard,n_steps,72.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,both-hard,n_steps_std,1.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,both-hard,n_violations,0.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,both-hard,n_violations_std,0.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,both-hard,total_violations,0.00022805201401232197,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,both-hard,total_violations_std,0.0002280131741356807,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,both-hard,avg_time,0.2993720384618834,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,both-hard,avg_time_std,0.030606343803362218,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,both-hard,collision_free_completed,0.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,both-hard,collision_free_completed_std,0.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,top-right-hard,n_success,0.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,top-right-hard,n_success_std,0.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,top-right-hard,n_success_and_constraints,0.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,top-right-hard,n_success_and_constraints_std,0.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,top-right-hard,n_steps,57.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,top-right-hard,n_steps_std,6.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,top-right-hard,n_violations,1.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,top-right-hard,n_violations_std,1.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,top-right-hard,total_violations,0.004126261383295049,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,top-right-hard,total_violations_std,0.0041262190192937875,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,top-right-hard,avg_time,0.27411935591668474,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,top-right-hard,avg_time_std,0.030777807146602984,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,top-right-hard,collision_free_completed,0.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,top-right-hard,collision_free_completed_std,0.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,top-left-hard,n_success,1.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,top-left-hard,n_success_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,top-left-hard,n_success_and_constraints,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,top-left-hard,n_success_and_constraints_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,top-left-hard,n_steps,89.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,top-left-hard,n_steps_std,5.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,top-left-hard,n_violations,13.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c,halfspace,top-left-hard,n_violations_std,12.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
