Rank,Candidate,Folder,Accuracy (%),Accuracy Std (%),Time (ms),Time Std (ms),Robustness,Latest_Snapshot
33,24,H8_K10_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,77.77777777777779,,0.37026910573209865,,0.9524304601217846,20260727_203138
34,23,H8_K5_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,77.77777777777777,,0.20806521402712552,,1.488780379634871,20260724_023649
35,80,K20_thres0.05_mpc4_n2,77.77777777777777,,0.3326994696373055,,62.1417286478446,
36,126,H8_K1_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,77.77777777777777,,0.02810464840237231,,0.8270354601109431,20260718_205600
37,43,H8_K1_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE_msg20trials,77.41666666666667,,0.01915341000911402,,14.092805927444541,20260815_230735
38,156,H8_K20_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE,77.08333333333334,,0.7698916864862939,,28.743679133864468,20260812_203342
39,86,K2_thres1_mpc1_n2_msgmpc1,76.38888888888889,,0.05676211031333822,,3.1152045684724228,
40,169,H8_K2_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE,76.25,,0.032786756498814545,,1.7154803638622618,20260811_211436
41,44,H8_K20_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,76.25,,0.7431600612140961,,37.646154827096176,20260812_193016
42,63,H8_K1_Meuler_T0.5_A0.5_B4_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE_msgdpccproto,75.55555555555556,,0.017951783364769672,,0.7363964359191186,20260918_112434
43,2,H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4,75.0,,9.212572100576624,,0.5168448687485785,20260620_235932
44,5,H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4_filmv2,75.0,,4.03206348055337,,2.197861748206062,20260630_134307
45,6,H8_K20_T0.5_Ddiffuser_visual_avoiding.models.visual_gaussian_diffusion.VisualGaussianDiffusion_VTrue_steps200_mpc4,75.0,,0.4862641585061558,,1.0712038919393247,20260621_035912
46,17,H8_K20_Dmodels.GaussianDiffusion_aw10_thres0.5,75.0,,0.5175123132645304,,1.9919415286207243,20260509_091817
