Rank,Candidate,Folder,Accuracy (%),Accuracy Std (%),Time (ms),Time Std (ms),Robustness
1,26,K10_thres0_mpc1_n2,100.0,,0.28684797936889805,,6.313093670241889
2,27,K20_thres0.5_mpc1_n2,100.0,,0.4813279461151171,,10.871600706516102
3,28,K20_thres0_mpc1_n2,100.0,,0.6102314833668363,,11.177023475700292
4,29,K20_thres0_mpc4_n2,100.0,,1.7424579917620433,,20.417026924489544
5,18,H8_K1_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,88.8888888888889,,0.014268661165544488,,1.3278862333609913
6,33,K20_thres0.5_mpc4_n2,86.66666666666667,,1.365825621071549,,101.17666606271322
7,15,H8_K2_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,83.33333333333334,,0.039723085714764975,,1.009051702288914
8,35,K20_thres0.5_mpc4_n2,83.33333333333334,,0.8250568787407303,,20.89240307637432
9,20,H8_K5_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,80.55555555555557,,0.1984566782984157,,0.9340818835697287
10,14,H8_K1_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,80.55555555555554,,0.024167145563037465,,0.9780779949990654
11,76,H8_K2_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,80.55555555555554,,0.03847298658473972,,1.049503709052601
12,85,H8_K10_Meuler_T1_Dmodels.diffusion.GaussianDiffusion,79.44444444444443,,0.8990273001022899,,1.7082914932769022
13,17,H8_K10_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,77.77777777777779,,0.37026910573209865,,0.9524304601217846
14,16,H8_K5_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,77.77777777777777,,0.20806521402712552,,1.488780379634871
15,73,H8_K1_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,77.77777777777777,,0.02810464840237231,,0.8270354601109431
16,1,H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4,75.0,,9.212572100576624,,0.5168448687485785
